County,Outlet,Access Area,URL,Leader,Leader Email,General Email,Owner/Group,Type
Mecklenburg,Charlotte Post,Mecklenburg,https://www.thecharlottepost.com/,"Gerald Johnson, Publisher & CEO",publisher@thecharlottepost.com,Only a contact form,Charlotte Post Publishing Co,newspaper
Mecklenburg,Que Pasa Mi Gente Charlotte,Mecklenburg,https://quepasamedia.com/charlotte/,Rafael Prieto,editor@quepasamedia.com,"None given, just contact form",Latino Communications LLC,newspaper
Mecklenburg,Charlotte Observer,"Mecklenburg, Anson, Gaston, Iredell, Lincoln, Rowan, Union, Stanly, Cleveland, Alexander, Catawba",,Rana Cash,rcash@charlotteobserver.com,"None given, only contact forms",McClatchy,newspaper
Mecklenburg,Lake Norman Citizen,"Mecklenburg, Iredell",https://www.lakenormanpublications.com/lake-norman-citizen/,"Lee Sullivan, Executive Editor",Not posted,news@lakenormanpublications.com,Lake Norman Publications,newspaper
Mecklenburg,The Matthews-Mint Hill,"Mecklenburg, Union",,,,,Carolina Weekly Newspaper Group,newspaper
Mecklenburg,Axios Charlotte,Mecklenburg,https://charlotte.axios.com/,Michael Graff,,,,digital
Mecklenburg,La Noticia,"Buncombe, Mecklenburg",https://lanoticia.com,Diego Barahona,,,"Alvaro Gurdian, Hilda Gurdian",digital
Mecklenburg,QCity Metro,Mecklenburg,https://Qcitymetro.com,"Glenn H. Burkins, Founder & Publisher",gburkins@qcitymetro.com,,Glenn Burkins,digital
Mecklenburg,The Charlotte Ledger,Mecklenburg,https://charlotteledger.substack.com,Tony Mecia,editor@cltledger.com,editor@cltledger.com,Tony Mecia,digital
Mecklenburg,The Davidsonian,Mecklenburg,,NA NA,davidsonian@davidson.edu,,Davidson College,newspaper
Mecklenburg,Niner Times,Mecklenburg,,Kelly Lusco Merges,klmerges@uncc.edu,,UNC Charlotte,newspaper
Mecklenburg,Denver Weekly News (Denver Citizen),Lincoln,,,,,Lake Norman Media Group,newspaper
Mecklenburg,Hola News,Mecklenburg; Pitt; New Hanover; Alamance; Caswell; Davidson; Davie; Forsyth ;Guilford; Montgomery; Randolph; Rockingham; Stokes; Surry; Yadkin,,,,,,newspaper
Mecklenburg,Mundo Latino Newspaper,,,,,,Mundo Latina Media,newspaper
Mecklenburg,Progreso Hispano News,Statewide,,,,,,newspaper
Mitchell,Mitchell News-Journal,Mitchell,https://www.mitchellnews.com/,"Brandon Roberts, Publisher/Editor",editor@mitchellnews.com,frontdesk@mitchellnews.com,Community Newspapers Inc. (CNI),newspaper
Polk,Tryon Daily Bulletin,Polk,https://www.tryondailybulletin.com/,"Jeff Allison, Operations Manager",jeff.allison@tryondailybulletin.com,news@tryondailybulletin.com,Boone Newspapers,newspaper
Rowan,Salisbury Post,Rowan,https://www.salisburypost.com/,"John Carr, Publisher",john.carr@salisburypost.com,news@salisburypost.com,Boone Newspapers,newspaper
Rutherford,Daily Courier,Rutherford,https://www.thedigitalcourier.com/,"Lori Spurling, Publisher",lspurling@thedigitalcourier.com,support@thedigitalcourier.com,Paxton Media Group,newspaper
Stanly,Stanly News and Press,Stanly,,B.J. Drye,bj.drye@stanlynewspress.com,,Boone Newspapers,newspaper
Surry,Tribune,"Surry, Wilkes",https://www.elkintribune.com/,Kitsey Burns Harrison,kburns@yadkinripple.com,hlamm@elkintribune.com,Adams Publishing Group,newspaper
Surry,Mount Airy News,Surry,https://www.mtairynews.com/,"Sandra Hurley, Publisher",shurley@mtairynews.com,shurley@mtairynews.com,Adams Publishing Group,newspaper
Surry,Pilot,Surry,https://www.pilotmountainnews.com/,Wendy Byerly Wood,wbyerly-wood@civitasmedia.com,wbyerly-wood@civitasmedia.com,Adams Publishing Group,newspaper
Swain,Smoky Mountain Times,Swain,https://www.thesmokymountaintimes.com/,Jessica Webb - Editor,editor@thesmokymountaintimes.com,news@TheSmokyMountainTimes.com,Community Newspapers Inc. (CNI),newspaper
Transylvania,The Transylvania Times,Transylvania,https://www.transylvaniatimes.com/,"Sharon Sorg, Publisher",ssorg@transylvaniatimes.com,bconley@transylvaniatimes.com,Trapp Stella,newspaper
Union,The Enquirer-Journal,Union,https://enquirerjournal.com/,"Dale Morefield, Publisher/Advertising Director",dmorefield@theej.com,,Paxton Media Group,newspaper
Watauga,The Blowing Rocket,"Watauga, Caldwell",https://www.wataugademocrat.com/blowingrocket/,David Rogers - Editor,david.rogers@blowingrocket.com,circulation@blowingrocket.com,Adams Publishing Group,newspaper
Watauga,Watauga Democrat,Watauga,https://www.wataugademocrat.com/,Gene Fowler - Publisher,gene.fowler@mountaintimes.com,circulation@mountaintimes.com,Adams Publishing Group,newspaper
Watauga,Mountain Times,"Watauga, Ashe, Avery",https://www.wataugademocrat.com/mountaintimes/,Gene Fowler - Publisher,gene.fowler@mountaintimes.com,circulation@mountaintimes.com,Adams Publishing Group,newspaper
Watauga,WataugaOnline.com,Watauga,https://wataugaonline.com,Kenneth Reece,kr@wataugaonline.com,contact@wataugaonline.com,Kenneth Reece,digital
Watauga,The Appalachian,Watauga,,Allison Bennett Dyche,dycheab@appstate.edu,,Appalachian State University,newspaper
Wilkes,Wilkes Journal-Patriot,Wilkes,https://www.journalpatriot.com/,"Jule Hubbard, Editor",wjpjule@wilkes.net,,Hubbard Julius,newspaper
Yadkin,Yadkin Ripple,Yadkin,https://www.yadkinripple.com/,"Kitsey Burns Harrison, Editor",kburns@yadkinripple.com,kburns@yadkinripple.com,Adams Publishing Group,newspaper
Yancey,Yancey Common Times Journal,Yancey,https://www.yanceytimesjournal.com/,"Pat Randolph, Publisher / Advertising Manager",pat@yanceypaper.com,editor@yanceypaper.com,Trib Publications,newspaper
