header,article
"Suspect arrested after threats disrupt FEMA'swork in NC
October 16, 2024 | Charlotte Observer, The (NC) | Charlotte, North Carolina | Page 8
Author: CLYDE HUGHES, SHERI WALSH AND DARRYL COOTE","A suspect has been arrested and charged with threatening Federal Emergency Management Agency workers over the weekend that forced the federal agency to pause Hurricane Helene assistance operations in some North Carolina counties.
William Jacob Parsons, 44, of Bostic, N.C., was arrested and charged Saturday with Going Armed to the Terror of the Public, a misdemeanor offense, the Rutherford County Sheriff's Office said in a statement Monday.
Authorities received a report Saturday morning of a white man armed with an assault rifle making comments about ""possibly harming FEMA employees"" working in Lake Lure and Chimney Rock area following Hurricane Helene.
Parsons was identified as a suspect by deputies who connected him to the vehicle associated with the man who uttered the threats.
Authorities said he was armed with a rifle and a handgun when arrested.
He was transported to the Rutherford County Sheriff's Detention Center, and was released on $10,000 bond.
The announcement comes after FEMA announced over the weekend that it had made ""operational changes"" in the area ""based on threat
MADELEINE COOK FEMA via UPI
Responders from the Eastern Band of Cherokee, FEMA and local personnel conduct a recovery operation in Haywood County, N.C .. on Oct. 2. FEMA was forced to pause operations in some North Carolina counties due to threats, before a suspect was arrested over the weekend.
information.,, The Ashe County Sheriff's Office said that FEMA in athe mountain region"" had been targeted with threats and ""out of an abundance of caution, they have paused their process.""
FEMA officials had their workers in Rutherford County, N.C., leave that jurisdiction immediately on Saturday after the threat was issued by a militia, according to local National Guards troops, The Washington Post reported. The workers, however, returned to process hurricane survivors on Sunday.
FEMA officials said the pause was temporary until they could properly analyze the threats amid a wave of misinformation and disinformation regarding the agency in the wake of the hurricane.
The Rutherford County Sheriff's Office on Mon-
day corrected the record that no truck ""'loaded with militia"" was involved in the threat, and that ""it was determined Parsons acted alone.""
FEMA has been working to help some of the hardest-hit victims of Hurricane Helene in areas where they are not pausing work.
Jordan Monaghan, deputy communications director for North Carolina Gov. Roy Cooper, said the governor's office was ""aware of significant misinformation online and reports of threats to workers"" in the state.
""The governor has directed the Department of Public Safety to identify with local law enforcement the specific threats and rumors and coordinate with FEMA and other partners to ensure safety and security as this recovery effort continues,"" Monaghan said."
"Tropical storm forecast to hit Florida as major hurricane
September 25, 2024 | Charlotte Observer, The (NC) | Charlotte, North Carolina | Page 6
Author: RICHARD TRIBOU","The storm's breadth means much of the state could face dangerous heavy winds and possible tornado warnings starting Wednesday night with a landfall by Thursday evening. The intensity forecast keeps the system a Category 3 hurricane with 115 mph winds and 140 mph gusts in the Gulf of Mexico approaching Florida's coast south of Tallahassee by Thursday afternoon.
BY RICHARD TRIBOU
Orlando Sentinel
ORLANDO, FLA.
Tropical Storm Helene formed Tuesday morning in the Caribbean, and the National Hurricane Center forecasts it to move north and strike Florida as a major Category 3 hurricane on Thursday night.
Earlier Tuesday, the NH C issued hurricane watches for Florida's Gulf Coast and warned storm surge could reach as high as 15 feet near its expected landfall targeting the Big Bend region.
In its 11 a.m. advisory, the system's center was located in the northwest Caribbean Sea about 180 miles east-southeast of Cozumel, Mexico, and 1780 miles south-southeast of the western tip of Cuba with maximum sustained winds of 45 mph as it moved northwest at 12 mph.
Tropical-storm-force winds extend out 140
miles from its center. Forecasters predict it
will become a hurricane by Wednesday in the Gulf of Mexico and then rapidly intensify into Thursday as it moves across the eastern Gulf of Mexico.
The storm's center could target the Big Bend, similar to this year's Hurricane Debby and 2023's Hurricane Idalia, but could also still shift to the east near Tampa or west to the middle of Florida's Panhandle,
""All indications are a significant hurricane impacting the Florida Big Bend, but, and this is a big but, the hazards are going to be well removed from the center and well removed from the cone,"" said NHC Deputy Director Jaime Rhome. ""So I don't want you to look at the cone and say, 'I'm out of the cone/ or 'I'm on the edge of the cone,' because this wind field, the wind field with this system, is going to be really large -larger than you're used to seeing with a traditional hurricane.""
Gov. Ron Desantis issued a state of emergency order Monday for 41 of Florida's 67 counties, and increased that to 61 on Tuesday. He said during a press conference Tuesday morning that the state also asked for pre-landfall declaration from FEMA,
He said the NHC has never in its history had a forecast for a major hurricane for a system that has yet to even form. DeSantis said Florida residents still have time Tuesday and early Wednesday to pre-
pare, fill gas tanks, get water and nonperishable food, clean up yards for potential debris and know evacuation zones.
He said more than 18,000 utility linemen are prepped to respond to expected power outages from the hurricane. There are 3,000 Florida National Guard soldiers ready to assist with post-storm assistance as well as Florida State Guard, Florida Fish and Wildlife Commission and county sheriff's office personnel.
Kevin Guthrie, director of the Florida Division of
The NHC predicts tropical-storm-force winds could arrive to South Florida by 8 a.m. Wednesday and into Central Florida by 8 p.m.
While the Caribbean system develops, a second system in the far eastern Atlantic also has a high chance to develop into a tropical depression or storm, the NHC stated in its 8 a.m. Tuesday tropical update. The tropical wave located near the Cape Verde Islands is producing more concentrated shower and thunderstorm activity since Monday.
""Environmental conditions appear favorable for gradual development of this system, and a tropical depression is likely to form in a few days while it moves westward to westnorthwestward across the eastern and central tropical Atlantic,,, forecasters said.
The NHC gives it a 30% chance to develop in the next two days and 80% in the next seven.
After Helene, the next name on the 2024 Atlantic hurricane season list is Isaac."
"Helene slams Florida coast, brings rain, winds to Southeast
September 29, 2024 | Charlotte Observer, The (NC) | Charlotte, North Carolina | Page 2
Author: UPI STAFF","Promptly follow evacuation and other instructions from local officials.""
The NHC said the storm's speed and intensity ""will allow strong, damaging winds, especially in gusts, to penetrate well inland across the southeastern United States, including over the higher terrain of the southern Appalachians.""
BY UPI STAFF
UPI.com
Helene, a ""catastrophic"" and lethal Category 4 hurricane, slammed into the Big Bend area of the Florida coast Thursday night, packing 140 mph winds, torrential rain, and the threat of life-threatening damage regionwide, the National Hurricane Center reported.
""This is an extremely dangerous and life-threatening situation,"" the NHC said. ""Persons should not leave their shelters and remain in place through the passage of these life-threatening conditions.''
The hurricane made landfall just after 11 p.m. EDT when the center of the eye reached the shore.
""'People are reminded to not venture out in the relative calm, as hazardous winds will increase very quickly when the eye passes,"" the NHC cautioned.
Such a powerful storm will bring widespread destruction and could result in the loss of life, weather officials said.
Forecasters warned that a potentially deadly storm surge will occur along
STEPHEN M. DOWELL Orlando Sentinel/TNS
Charles Starling, a lineman with Team Fishel, is pelted with rain as he walks by a row of electrical line trucks staged in a field in The Villages, Florida, on Thursday. Thousands of trucks were staged by Duke Energy in preparation for damage from Hurricane Helene.
portions of the Florida Big Bend coast, where inundation could reach as high as 20 feet above ground level. They also warned of destruction from waves, too.
At least a million people regionwide are without power.
Damaging wind gusts will penetrate well inland over portions of Georgia and the Carolinas, they said while warning residents in these regions that they could experience extended power
outages. Additionally, they said,
""considerable to locally catastrophic flash and urban flooding is likely for northwestern and northern Florida and the southeast through Friday.""
Forecasters also said widespread river flooding is anticipated in a large area affected by the fast-moving storm.
""Weakening is expected after Helene moves inland, but the fast forward speed will allow strong, damaging winds, especially in gusts, to penetrate well inland across the southeastern United States, including over the higher terrain of the southern Appalachians,"" the forecasters said in a Thursday evening update.
Forecasters also said hurricane-force winds extended outward as far as 60 miles from the center of the storm, while tropical-storm-force winds could be felt as far as 310 miles away. Rain totals could reach 6 inches as far north as Louisville, Ky., the NHC predicted.
Storm surge warnings were in effect for Mexico Beach eastward and southward to Flamingo, Tampa Bay and Charlotte Harbor.
The storm surge warning means life-threatening danger from rising water inundation as Helene pushes water inland from the Florida coast.
""This is a life-threatening situation,"" the NHC said. "" Persons located within these areas should take all necessary actions to protect life and property from rising water and the potential for other dangerous conditions.
The NHC said Helen is a very large hurricane. The deepest water will occur along the immediate coast near and to the east of landfall location and that surge will be accompanied by large and dangerous waves.
The NHC said surgerelated flooding will depend on ""the relative timing of the surge and the tidal cycle, and can vary greatly over short distances.
Florida Gov. Ron DeSantis issued a state of emergency for 61 of Florida's 67 counties ahead of the storm's landfall.
""Florida is preparing for widespread impacts from Hurricane Helene,"" he said.
Normally dry areas near the coast are expected to flood due to the combination of tides and the deadly storm surge, which from Carrabelle to the Suwannee River could reach as high as 20 feet.
The storm was expected to bring heavy rainfall amounts to the Tennessee Valley on Friday and Saturday with strong, damaging winds - especially in gusts - that will penetrate well inland over the southeastern United States, including over higher terrain in the southern Appalachian mountains.
Total rain accumulations into the Appalachians are expected to be 6 to 12 inches, with isolated totals around 20 inches."
"Many in Morganton without power; water system gets repairs
October 1, 2024 | News Herald, The (Morganton, NC) | Morganton, North Carolina | Page 1
Author: CHRISSY MURPHY cmurphy@morganton.com","The skies may have cleared, but Hurricane Helene's presence still can be seen around Burke County, including for anyone who uses city water.
A boil water advisory was issued Sunday afternoon for all public water in Burke
County, according to an alert fro1n Burke County 911.
Jonelle Sigmon, public information officer for the city of Morganton, said Saturday the city's pump station was underwater and would not be operable until floodwaters receded and repairs were made.
In a new statement Sunday, Sigmon said some temporary repairs had been 1nade to the pump station, and the distribution system was slowly filling with water.
""It is important for the system to be completely full before normal service can be restored;' said the statement from Sigmon. ""Therefore, patience is requested during the process. Once the direction is (given) to begin gradual usage, customers are reminded that our system remains under a boil water advisory!'
In a separate statement Saturday, Sigmon said it could be three to five days before some Morganton residents have their power restored.
Burke County 911 Assistant Director Chris White said Friday that 911 dispatchers were busy dispatching calls for swift wa -ter rescues 1 structural collapses, mudslides, wrecks and more.
North Green Street was flooded Friday and Saturday, with the Catawba River spilling from its banks ~ and covering the bridge at the cor-ner of North Green and Sanford Drive. Bost Road was covered in water at the Burke County Fairgrounds on Friday afternoon and Saturday but finally cleared up Saturday night.
The flooding was what several said reminded them of Hurricane Frances, which happened a little more than 20 years ago.
""This storm is different than Frances;' said Morganton Public Safety Chief Jason Whisnant. ""We have widespread damage on electric, utility lines unlike anything I've ever seen!'
WALT UNKS, WINSTON-SALEM JOURNAL
Mimosa Hills shopping center at the intersection of U.S. Highway 64 bypass and Carbon City Road in Morganton was flooded on Saturday from the Catawba River and remnants of Hurricane Helene.
So many roads were in states of disrepair, the North Carolina Department of Transportation said all roads in western North Carolina should be considered closed unless you are traveling for an emergency or to escape danger.
Morganton saw 9. 79 inches of rainfall from Wednesday through Friday, said Doug Outlaw, a meteorologist with the National Weather Service.
Wind speeds were as high as 51 mph in Hickory. In Asheville, Outlaw said wind speeds were as high as 46 mph.
""This will be one of the most significant weather events that happened in the modern eras;' Outlaw said. ""The flooding was compared to Tropical Storm Fred in August of 2021. It's certainly one of the most historically significant storm events that we've ever had!'
With the ground still saturated, Outlaw said the risk of trees fall -ing in the coming days is high. He said it wouldn't take much to topple a tall tree.
Burke County Public Schools Superintendent Mike Swan announced in an alert from Burke County 911 that schools would be closed in Burke County at least through Wednesday, Oct. 2.
Chrissy Murphy is a staff writer and can be reached at cmurphy@ morganton.com or at 828-432-8941."
"Storm caused significant damage for McDowell County
October 1, 2024 | News Herald, The (Morganton, NC) | Morganton, North Carolina | Page 1
Author: STAFF REPORTS","The remnants of Hurricane Helene, a tropical storm by the time it reached North Carolina, hit McDowell County on Friday. The storm brought strong wind, rain and flooding. It knocked out power, cell phone service, internet and water for
most of the county The National Weather Service said
portions of western McDowell County received around 9 inches of rain from Tropical Storm Helene.
The storm initially left nearly all of McDowell County residents without power Saturday. On Sunday, 78% were still without power.
McDowell County's water is limited after the storm, according to emergency management officials. Marion's water supply was expected to be depleted by noon Sunday, and Old Fort has limited to not water as of Saturday evening. Marion's water intakes were without power or were not producing water, according to a Saturday news release from McDowell County Emergency Management. The city is working with Duke Energy to restore power to the Buck Creek water intake, but it may take time, the release said.
Without power, the water supply in Marion was expected to run out, the release said.
""It is urgent that all city of Marion and McDowell County water custo1ners conserve water to the greatest possible degree in order to extend the city and county water supplies;' the release said.
Non- essential water use was prohibited.
Old Fort's water system was impacted by flooding as well, leaving the city with little to no water, a Saturday emergency management update said.
The county is still working to rescue people who are trapped and missing, emergency management said.
Distribution centers
McDowell County opened distribution centers for food and water and a third shelter on Sunday.
The distribution centers are located at: ? Woodlawn: Hicks Chapel
Church, 6008 U.S. Hwy. 221 N ? North Cove: North Cove Elementary, 8153 U.S. Hwy. 221 N Emergency management said
this is the first of many distribution centers.
""Since the early morning hours, McDowell County Emergency Services has been working tirelessly to set up Points of Distribution across the county to provide critical supplies, including food and water, to every community,"" emergency management said in the release. ""Our dedicated team will not stop until all citizens have access to the resources they need for their safety and well -being. We are working around the clock, doing everything we can to bring resources into McDowell County as quickly as possible.
The county has opened a third shelter at the YMCA in Marion on Sunday, emergency management said in a release. The county had three shelters as of Sunday afternoon: Church-155 Glenwood Church Rd., Marion. ? Senior Center in Marion-100 Spaulding Rd., Marion. ? YMCA of Marion, 348 Grace
Corpening Dr., Marion. (Opening Sunday night at 7 p.m.)
There is no shelter in Old Fort, the county said.
Information was linrited about the impact the storm had on Old Fort.
Calls for help
McDowell County 911 received over 760 calls for service during this storm on Friday, according to McDowell County Emergency
Management. Even in the days after, McDowell County 911 got hundreds of calls for help every hour, emergency management said. The calls involve patients who are trapped with severe trauma and running out of oxygen or essential medical supplies, the county said.
It took time for emergency management to respond, because multiple areas in McDowell were inaccessible to emergency personnel in the days after the storm, emergency management said.
""Mutual aid agencies fron1 all across North Carolina are assisting McDowell County respond to this disaster;' the county said Friday. ""A mass casualty bus, multiple out-of-county ambulances, National Guard personnel, Urban Search and Rescue Teams, swift water rescue teams and state law enforcement are supporting local fire, rescue, EMS, and law enforcement. Heavy construction equipment is also being used to access several critical incidents!'
In some areas, responders could not reach those in help because of landslides, downed trees, power lines and flooded roads, the Saturday release said. By Sunday, water was starting to recede and some of the Catawba River was back at bank level, an alert from McDowell County Emergency Management said. But the county said there is still standing water around the county.
With the water receding, rescue efforts shifted from swift water rescue to urban search and rescue, the Sunday alert said.
More than 20 air rescues were conducted Saturday to extract people from isolated areas, emergency management said.
The biggest challenges in emergency response were road blockages, fuel supply shortages for emergency vehicles, difficulty communicating with little to no cell and radio service and delivery of food and water, the county said.
Responders worked to deliver supplies like food and water throughout McDowell County, emergency management said. The supplies were distributed to drop points by the U.S. National Guard, the county said.
140 mudslide
The North Carolina Department of Transportation reported a mudslide on Interstate 40 near Old Fort.
The interstate is closed from exit 66 to exit 77, according to Drive NC .gov."
"As region recovers from catastrophe, sports will ultimately help in healing process
October 1, 2024 | News Herald, The (Morganton, NC) | Morganton, North Carolina | Page 9
Author: DAN CRAWLEY","All of western North Carolina con- 1nues to deal with the catastrophic ooding and loss of infrastructure
associated with the remnants of Hurricane Helene that moved in.
The local sports scene is no different as many facilities fron1 local recreational leagues to high school fields also have taken significant damage from the flooding with Helene. Burke and McDowell counties were hit very hard over a three-day period with rain in excess of 20 inches that fell along the area, according to the National Weather Service. The rain led to rapid rises of water all along the Catawba River.
In McDowell County, the most significant sports damage is focused on ball fields operated by the McDowell County Parks and Recreation. As of Sunday afternoon, more of the damage is becoming realized. The North Fork of the Catawba River widened as the storm peaked on Friday and brought a lot of damage into the valley in the Ashford and North Cove communities.
Sandy Andrews Park is one of the locations in North Cove that received extensive damage from the rapids that developed as the North Fork reached major flood stage on Friday. Other facilities owned by McDowell Parks and Recreation that may have been damaged include Lindley Park in Old Fort, which lies a matter of yards from the Catawba River. As the recovery efforts continue over the next few days, additional issues will likely be realized as we learn more about the true scope of the flooding.
Another area that was heavily inlpacted includes the practice and baseball fields at West McDowell Middle School due to the Catawba River's expansive reach.
According to U.S. Geological Survey data, the Catawba River at Pleasant Gardens had a record high crest of 21.6 6 feet Friday afternoon, nearly four feet above the previous record crest that occurred in 2004. That all results in several feet of water covering the practice football field and baseball field for the school. With the water now gone, all the debris and a muddy mess is left behind.
McDowell High School's athletic facilities as of Sunday has appeared to fare in better shape. The school, which is located on a ridge, was well away from the floodwaters. More will be known about the status of the high school fields once members of the school and athletic department can safely get out and inspect things.
Freedom High School dealing with flashbacks of 2004 In western Burke County, the flood damage associated with Helene brings back memories of 2004, but worse.
Lake James water levels peaked at IO feet above full pond, according to Duke Energy, which forced an immense"
"WESTERN NORTH CAROLINA IHELENE AFTERMATH
October 2, 2024 | News Herald, The (Morganton, NC) | Morganton, North Carolina | Page 1
Author: SARAH C, JOHNSON Hickory Daily Record","Want to Help? Here's how, along with information about food, shelter, power and donation sites.
The remnants of Hurricane Helene hit western North Carolina Friday, bringing significant flooding and damage. The storm left 1nany residents without power, water or cell service.
In the days since, federal, state and local governments have worked to help the area recover. Also helping are numerous private compa -nies and individuals.
Here is information about food, shelter, power and donation sites in McDowell, Burke, Catawba and Iredell counties and surrounding areas.
Meals, shelters for flood victims in western NC
Grace Community Church will beprovidmg hot meals at 5182 U.S. 70 West in Marion. Lunch will be served from II a.m. to 12:30 p.m. Dinner will be served from 4-5:30 p.m. Local emergency shelters are listed below: ? Glenwood Baptist Church - 155 Glenwood Church Road m Marion ? Marion Senior Center - 100 Spauling Road in Marion ? YMCA of Marion - 438 Grace Corpening Drive in Marion ? Oak Hill Methodist Church - 2239 N.C.181 in Morganton ? West Caldwell High School - 300 West Caldwell Drive in Lenoir
Food, water, supplies in McDowell County
Numerous agencies from all across McDowell County continue to assist McDowell County Emergency Management with points of distribution. These places will operate daily from 10 a.m. to noon and 4-6 p.m., depending on available supplies. The locations are as follows: ? Hicks Chapel Church- 6008 U.S. Hwy. 221 N. in Marion ? Former T)'s Discount - 8153 U.S. Hwy. 221 N. in Marion ? Old Fort Town Hall - 38 Catawba Ave. in Old Fort ? New Manna Baptist Church - 225 E. Court St. in Marion ? Solid Rock Free Will Baptist Church - 7860 N.C. Hwy. 226 S. in Nebo
Food, water and ice in Burke County
Burke County has set up a donation and distribution location at Foothills Higher Education Center in Morganton. The center is at 2128 S. Sterling St., Morganton.
Donations are being accepted from 8 a.m. to 5 p.m. everyday and will be distributing needed items from 8 a.m. to 8 p.m. every day.
The county is offering free bags of ice at four locations:
? Old Kmart parking lot - 110 Bost Road,Morganton ? Fiddlers Run Shopping Center - 160 Fidler Run Blvd., Morganton ? Brentwood Water Corporation - 1911 Jamestown Road, Morganton ? Foothills Thrift Store - 2886 U.S. Hwy. 17, Morganton
Where to donate for flood relief in western NC
Looking to donate food, clothes or toiletries to flood victims in western North Carolina? Here are donation sites in Catawba, Caldwell, Burke, Iredell and McDowell counties.
Several sites around the Catawba Valley are collecting donations: 
? N.C. State Highway Patrol station - 3265 U.S. Highway 70 SE in Conover
? Catawba County United Way office - 2760 Tate Blvd. SE in Hickory
? WHKY office - 526 Main Ave. SE in Hickory
? Conover Fire Department, Station No. 3 - 1776 Village Square NW in Conover
? Hickory Motor Speedway- 3130 U.S.Highway 70 SE in Newton
? Klingspor Abrasives- 2566 Third Ave. NW in Hickory
? Brookford Police Department lobby -1700 S. Center St. in Hickory ? Long View Town Hall - 2404 First
Ave. SW in Long View (Until Oct. 7) ? Adrian L. Shuford Jr. YMCA - 1104
Conover Blvd. E. in Conover
? Hickory Foundation YMCA - 701 First St. NW in Hickory ? Lincoln County Family YMCA-1402
Gaston St. in Lincolnton ? Sally's YMCA - 1601 Forney Creek Parkway in Denver ? Phifer Family YMCA - 2165 S. Sterling St. in Morganton
? Lower Creek Baptist Church - 633 Lower Creek Drive in Lenoir (10 a.m. to 4 p.nl,)
? Statesville Regional Airport - 238 Airport Road in Statesville (8 a.m. to 4 p.m.) ? Statesville Fire Department Station No. 1 - 822 Fifth St. in Statesville
? Statesville Fire Department Station No. 3 - 779 Eastside Drive in Statesville No. 4 - 115 Martin Lane in Statesville 
Center - 634 College Drive in Marion
Foothills Higher Education Center at 2128 S. Sterling St., Morganton.
Items needed for flood victims
Don't know what to donate? Here is a list of items that local donations sites are requesting. ? Powdered drink mix packets ? Bottled water ? Baby formula/baby food ? Nonperishable food items ? Plastic utensils ? Paper plates/cups
Manual can openers ? Toiletries ? Toothbrushes/toothpaste
Hand sanitizer ? Baby wipes ? Diapers for adults/children
Sanitizing wipes ? Feminine hygiene products ? Bug spray ? Sunscreen ? Dog/cat food ? Cat litter ? New clothes
Unopened socks of all sizes ? Blankets ? Heavy-duty work gloves ? Plastic tarps
Cleaning supplies ? Trash bags 13-gallon or bigger ? Batteries
Flashlights ? Chain saws (Brookford Police Department only)
Statesville Fire Departments are not accepting used clothes, water, fuel or flammable items, most chemicals including bleach, or hazardous materials. Other sites are not accepting glass items.
North Carolina Helene disaster relief funds
Want to donate money to help Hurricane Helene victims? Here are two official relief funds for North Carolina. Monetary donations can be made to the N .C. Department of Public Safety's disaster relief fund at nc.gov/donate.
The North Carolina United Way is also accepting monetary donations through NC 211 at unitedwaync.org.
Power outages in Catawba Valley
Nearly 65% of McDowell County was without power on Tuesday at 10:45 a.m. There were 19,562 customers out of 30,262 with no power, according to PowerOutages.us. 
Half of Burke County residents still had no power as of Tuesday. As of 10:45 a.m., 21,853 out of 43,519 customers were without power, according to PowerOutages. us.
Nearly 40% of Caldwell County remained without power as of 10:45 a.m. on Tuesday. Out of 42,228 customers, 16,134 still did not have power, according to PowerOutages. us.
On Tuesday, 9,836 customers out of 82,391 in Catawba County were still without power, according to Power Outages. us. On Tuesday, 1,643 customers out of 19,481 in Alexander County were still without power, according to Power Outages. us.
Report missing people in McDowell County
If you or someone you know is in need of assistance, call the Helene Hotline at 828-652-3241. The 24/7volunteer operators are standing by to help. The hotline can be used for the following:
I. Report missing or stranded persons. 2. Request transportation to a shelter 3. Report urgent medical equipment 4. Any other questions or concerns
How to apply for FEMA assistance 
Did you experience damage from Tropical Storm Helene? If you live in Alexander, Alleghany, Ashe, Avery, Buncombe, Burke, Caldwell, Catawba, Clay, Cleveland, Gaston, Haywood, Henderson, Jackson, Lincoln, Macon, Madi -son, McDowell, Mitchell, Polk, Rutherford, Transylvania, Watauga, Wilkes or Yancey counties or are a tribal member of the Eastern Band of Cherokee Indians, FEMA may be able to help with serious needs, displacement, home repair or other expenses.
To apply, go online to Disaster Assistance. gov, use the FEMA app for mobile devices or call 800-621-3362."
"Crew still working to restore power
October 3, 2024 | News Herald, The (Morganton, NC) | Morganton, North Carolina | Page 2
SHARON MCBRAYER smcbrayer@morganton.com","While around 13,000 Duke Energy customers in Burke County remained without power Tuesday morning, company representatives say multiple crews were working to get power restored to the county.
Jeff Brooks, a spokesman for Duke Energy, said he was driving through Burke County on Mon -day and saw downed trees everywhere, miles of downed power lines and a lot of broken power poles.
'So some of those were in hard-to-access areas, so those will be the kind of challenges that they're working to restore:' Brooks said. He said the company expects the majority of customers will have power by Friday evening.
Most power will be restored much sooner than that, he said.
He said on Monday evening that 18,000 line and tree workers were working in western North Caro lina and Upstate South Carolina, and more were on the way.
Restoring power to lines that have been downed by trees is a multi-stage process, Brooks said.
He said it first requires a tree crew to remove all the trees from the lines and then install new poles and new equipment.
Duke Energy typically restores power from some of the main transmission lines to bring power to the region, and then crews work to restore emergency services' power first, including fire departments, hospitals and police departments. Crews then work to restore as many customers as possible with each restoration, meaning outages on a line that has the largest number of customers get repaired first, Brooks said.
""Sometimes the scope of the damage requires more resources, and that may cause us to move to a different one first, but that's generally the process to follow as we're working to restore power"" Brooks said. He said it's encouraging to see more roads opening up, which means Duke Energy workers will be able to get crews into more areas.
""We appreciate our customers' patience during this time;' Brooks said. ""We know that this is a challenging time for many people and that being without power is not only inconvenient, but that it removes some security that we have when we have power available. So, we're working really hard!'
Brooks said Duke Energy crew members live and work in the area as well and many of them are dealing with the same situations at home that its customers are, but they're all working to get power back up for everybody.
""This is, certainly in my 17 years of working storms, this is one of the worst I've ever seen;' Brooks said. ""And I think given the terrain in the foothills and the mountains, it makes that work even more challenging. But we continue to bring in resources to help, and
we'll keep at it until we get everybody back up:'
On Tuesday, the city of Morganton said its electric crews were working on OldN.C. Highway 18, Mount Horne Church Road, Dale Circle off of Enola Road, Willowbrook Drive and Alexander Avenue.
""We will try to keep you updated with new locations when we are told,"" the city said. 11We understand that your neighbor may have power, but dne to the nature of the circuits you may still be without power. Please be patient as we continue to make repairs.""
Boil water advisory in Morganton
As for water use, the city of Morganton said on Tuesday the boil water advisory has been lifted for the areas served by the Valdese Avenue, Dale Circle, Astro Drive and the Salem water tanks. It said water tests have confirmed that the water is safe in those areas.
""We will be announcing other areas of our customer base that can proceed with normal water consumption once test results are received;' the city said.
Town of Valdese and Icard Township water customers remain under a boil water advisory as of Tuesday.
The city of Morganton also announced Tuesday afternoon that all city parks are closed until further notice, including the Catawba River Greenway. Parks and recreation staff are out today in the parks, assessing damage, the city said."
"Panthers owner, wife donate $3M to hurricane relief efforts
October 3, 2024 | News Herald, The (Morganton, NC) | Morganton, North Carolina | Page 9
Author: GERALD HERBERT, ASSOCIATED PRESS","ASSOCIATED PRESS
CHARLOTTE, N.C. - Carolina Panthers owner David Tepper and his wife Nicole have made an initial $3 million commitment to Hurricane Helene relief efforts through their foundation.
It's to support immediate and long-term humanitarian aid and recovery efforts in North and South Carolina in the wake of devastation from the Category 4 storm.
The region remains in a state of emergency, and more than 50 people have died.
""The David & Nicole Tepper Foundation, Carolina Panthers, and Charlotte FC stand alongside all those who have been affected by Hurricane Helene and the devastation it has wrought across the
southeast, and particularly in our backyard throughout the Carolinas; said David and Nicole Tepper said in a release.
Tepper purchased the Panthers in 2018. The foundation will assist a number of food banks and pantries, local community foundations and other service agencies in the Carolinas."
"Grab-and-go meals will be provided until schools reopen
October 4, 2024 | News Herald, The (Morganton, NC) | Morganton, North Carolina | Page 1
Author: STAFF REPORTS news@morganton.com","Burke County Public Schools will be providing free meals to children until all of the schools in the county reopen.
The school systen1 said parents can stop by one of the four sites from II a.m. to I p.m. to pick up a free breakfast and free lunch for any child from infant to 18 years old. Children do not have to be present to pick up
meals, it said.
East Burke Middle School, located at 3 519 Miller Bridge Road in Connelly Springs. ? Mountain View Elementary, located at
80 5 Bouchelle St. in Morganton Glen Alpine Elementary, located at 302
London St. in Morganton. The school system announced that grab-and-go meals are available for anyone from infants to 18 years old starting Thursday.
The four sites are: Liberty Middle School, located at 529
Enola Road in Morganton.
Those picking up meals should drive through the car rider line, according to Burke County Public Schools."
"Helene's Death Toll Passes 200
October 4, 2024 | News Herald, The (Morganton, NC) | Morganton, North Carolina | Page 1
Author: JEFF AMY AND JOHN SEEWER Associated Press","Rescuers still trying to reach remote areas of North Carolina
JEFF AMY AND JOHN SEEWER Associated Press
PENSACOLA, N.C. - Rescue crews and volunteers facing obstacles at every turn in North Carolina's remote mountains paddled canoes across swollen rivers and steered horses past mudslides in the rush to reach those stranded or missing after Hurricane Helene's rampage that killed more than 200 throughout the Southeast.
Now a week since the storm first roared onto Florida's Gulf Coast, the search continued for people who have yet to be heard from in places where phone service and electricity were knocked out. Pleas for help came from people running low on medicine or in need of fuel for their generators.
How many people are missing or un -accounted for isn't clear. The death toll grew to 215 people on Thursday as more victinls were found, making Helene the deadliest hurricane to hit the mainland U.S. since Katrina in 2005. About half the victims were in North Carolina, while dozens more were killed in South Carolina and Georgia.
Along the Cane River in western North Carolina's Blue Ridge mountains, rescuers from the Pensacola Volunteer Fire Department cut their way through trees at the top of a valley where a wall of water swept through for hours last week.
Pensacola, which sits a few miles from Mount Mitchell, the highest point east of the Mississippi River, lost an untold number of people, said Mark Harrison, chief medical officer for the department. ""We're starting to do recovery:"" he said
Thursday. ""We've got the most critical people out!""
Harrison helped dispatch volunteers driving all-terrain vehicles on supply runs to people still on ridgetops. Many don't want to leave their houses, while others lost their vehicles and need help getting to town."
